         15265269 function calls (15256593 primitive calls) in 68.643 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8390    0.007    0.000    0.141    0.000 <__array_function__ internals>:2(concatenate)
      238    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(squeeze)
     8390    0.006    0.000    0.511    0.000 <__array_function__ internals>:2(stack)
      238    0.000    0.000    3.291    0.014 <__array_function__ internals>:2(unique)
     69/5    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
     35/5    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:403(cached)
       77    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
     19/5    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:663(_load_unlocked)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     19/5    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     19/5    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:978(_find_and_load)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:499(_validate_hash_pyc)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
     18/5    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:722(exec_module)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:793(get_code)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:914(get_data)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.002    0.002   68.643   68.643 <string>:1(<module>)
        1    0.000    0.000    0.001    0.001 BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:279(BmpRleDecoder)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:333(DibImageFile)
      238    0.000    0.000    0.000    0.000 BmpImagePlugin.py:51(_accept)
      238    0.000    0.000    0.001    0.000 BmpImagePlugin.py:55(_dib_accept)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:62(BmpImageFile)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:39(LoadingStrategy)
      238    0.000    0.000    0.000    0.000 GifImagePlugin.py:54(_accept)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:63(GifImageFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:20(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
      238    0.000    0.000    0.000    0.000 Image.py:2998(_decompression_bomb_check)
      238    0.002    0.000    0.050    0.000 Image.py:3018(open)
      238    0.003    0.000    0.017    0.000 Image.py:3083(_open_core)
        7    0.000    0.000    0.000    0.000 Image.py:3231(register_open)
        7    0.000    0.000    0.000    0.000 Image.py:3246(register_mime)
        7    0.000    0.000    0.000    0.000 Image.py:3257(register_save)
        3    0.000    0.000    0.000    0.000 Image.py:3268(register_save_all)
       15    0.000    0.000    0.000    0.000 Image.py:3280(register_extension)
        4    0.000    0.000    0.000    0.000 Image.py:3291(register_extensions)
        2    0.000    0.000    0.000    0.000 Image.py:3313(register_decoder)
      238    0.000    0.000    0.007    0.000 Image.py:343(preinit)
      238    0.001    0.000    0.001    0.000 Image.py:526(__init__)
      714    0.000    0.000    0.000    0.000 Image.py:558(size)
      238    0.000    0.000    0.000    0.000 Image.py:578(__enter__)
      238    0.000    0.000    0.002    0.000 Image.py:581(__exit__)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
